full_ticker,ticker,name,name_short,name_eng,listed_data,market,security_category,related_department,preferred,face_value,shares_available,corp_code,corp_code2,industry_code
KR7098120009,098120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008/09/23,KOSDAQ,주권,벤처기업부,보통주,500,8312766,00568188,00568188,2629
KR7131100000,131100,(주)스카이이앤엠,스카이이앤엠,"SKY E&M Co., Ltd.",2011/06/14,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,100,41281205,00814786,00814786,468
KR7009520008,009520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997/11/10,KOSDAQ,주권,우량기업부,보통주,500,41642703,00128111,00128111,24199
KR7095570008,095570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015/08/21,KOSPI,주권,,보통주,1000,46822295,00365387,00365387,76320
KR7006840003,006840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999/08/11,KOSPI,주권,,보통주,5000,13247561,00125080,00125080,64992
KR7282330000,282330,BGF리테일보통주,BGF리테일,BGF Retail,2017/12/08,KOSPI,주권,,보통주,1000,17283906,01263022,01263022,47122
KR7027410000,027410,BGF보통주,BGF,BGF,2014/05/19,KOSPI,주권,,보통주,1000,95716791,00219097,00219097,64992
KR7138930003,138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011/03/30,KOSPI,주권,,보통주,5000,325935246,00858364,00858364,64992
KR7001460005,001460,BYC보통주,BYC,BYC,1975/06/02,KOSPI,주권,,보통주,5000,624615,00122579,00122579,14120
KR7001040005,001040,CJ보통주,CJ,CJ Corp.,1973/06/29,KOSPI,주권,,보통주,5000,29176998,00148540,00148540,64992
KR7011150000,011150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988/11/26,KOSPI,주권,,보통주,500,35930773,00129013,00129013,10799
KR7058820002,058820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001/08/31,KOSDAQ,주권,우량기업부,보통주,500,138892244,00380429,00380429,212
